Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
0,0,0,8.4,15.225,0
0,0,0,7.875,15.225,0
0,0,0,7.875,15.75,0
0,0,0,7.875,16.275,0
0,0,0,8.4,16.275,0
0,0,0,8.4,15.75,0
0,0,0,8.4,14.7,0
0,0,0,8.4,14.175,0
0,0,0,7.875,14.175,0
0,0,0,7.875,14.7,0
0,0,0,8.4,13.65,0
0,0,0,8.4,13.125,0
0,0,0,8.4,12.6,0
0,0,0,7.875,12.6,0
0,0,0,7.875,13.125,0
0,0,0,7.875,13.65,0
0,0,0,8.4,12.075,0
0,0,0,8.4,11.55,0
0,0,0,7.875,11.55,0
0,0,0,7.875,12.075,0
0,0,0,7.875,16.8,0
0,0,0,7.875,17.325,0
0,0,0,8.4,17.325,0
0,0,0,8.4,16.8,0
0,0,0,7.875,17.85,0
0,0,0,8.4,17.85,0
0,0,0,7.35,17.85,0
0,0,0,6.825,17.85,0
0,0,0,6.3,17.85,0
0,0,0,7.35,17.325,0
0,0,0,7.35,16.8,0
0,0,0,6.825,16.8,0
0,0,0,6.825,17.325,0
0,0,0,6.3,17.325,0
0,0,0,6.3,16.8,0
0,0,0,7.35,16.275,0
0,0,0,7.35,15.75,0
0,0,0,7.35,15.225,0
0,0,0,6.825,15.225,0
0,0,0,6.825,15.75,0
0,0,0,6.825,16.275,0
0,0,0,6.3,16.275,0
0,0,0,6.3,15.75,0
0,0,0,6.3,15.225,0
0,0,0,7.35,14.7,0
0,0,0,7.35,14.175,0
0,0,0,6.825,14.175,0
0,0,0,6.825,14.7,0
0,0,0,6.3,14.7,0
0,0,0,6.3,14.175,0
0,0,0,7.35,13.65,0
0,0,0,7.35,13.125,0
0,0,0,7.35,12.6,0
0,0,0,6.825,12.6,0
0,0,0,6.825,13.125,0
0,0,0,6.825,13.65,0
0,0,0,6.3,13.65,0
0,0,0,6.3,13.125,0
0,0,0,6.3,12.6,0
0,0,0,7.35,12.075,0
0,0,0,7.35,11.55,0
0,0,0,6.825,11.55,0
0,0,0,6.825,12.075,0
0,0,0,6.3,12.075,0
0,0,0,6.3,11.55,0
